"outcome","analysis","target","arm","estimand","spearman","n_units"
"child_selenium","descriptive","mean_log","soilgrids_ph","district_correlation",0.123332363838693,78
"child_selenium","descriptive","mean_log","soilgrids_organic_carbon","district_correlation",0.0828665005880196,78
"child_selenium","descriptive","mean_log","soilgrids_clay","district_correlation",0.216631469796027,78
"child_selenium","descriptive","mean_log","soilgrids_cec","district_correlation",0.355707583555685,78
"women_selenium","descriptive","mean_log","soilgrids_ph","district_correlation",0.146981499513145,79
"women_selenium","descriptive","mean_log","soilgrids_organic_carbon","district_correlation",0.0342745861733204,79
"women_selenium","descriptive","mean_log","soilgrids_clay","district_correlation",0.21713729308666,79
"women_selenium","descriptive","mean_log","soilgrids_cec","district_correlation",0.290628042843233,79
"child_selenium","protocol","p_low","null_train_mean","infill",-0.146099834512213,78
"child_selenium","protocol","p_low","region_mean_jk","infill",0.281510670405195,78
"child_selenium","protocol","p_low","spatial","infill",0.401746019327172,78
"child_selenium","protocol","p_low","domain_index","infill",0.427580027406558,78
"child_selenium","protocol","p_low","spatial_plus_domain","infill",0.400889418006645,78
"child_selenium","protocol","p_low","null_train_mean","region",-0.639878638432172,78
"child_selenium","protocol","p_low","spatial","region",0.344992782630668,78
"child_selenium","protocol","p_low","domain_index","region",0.368107421438539,78
"child_selenium","protocol","p_low","spatial_plus_domain","region",0.351152154030648,78
"child_selenium","protocol","level","null_train_mean","infill",-0.19231987288287,78
"child_selenium","protocol","level","region_mean_jk","infill",0.316752958099054,78
"child_selenium","protocol","level","spatial","infill",0.291999140100406,78
"child_selenium","protocol","level","domain_index","infill",0.447539801970182,78
"child_selenium","protocol","level","spatial_plus_domain","infill",0.35532821608771,78
"child_selenium","protocol","level","null_train_mean","region",-0.651446662374873,78
"child_selenium","protocol","level","spatial","region",0.269919953464257,78
"child_selenium","protocol","level","domain_index","region",0.395060635566965,78
"child_selenium","protocol","level","spatial_plus_domain","region",0.31567167010205,78
"women_selenium","protocol","p_low","null_train_mean","infill",-0.158214349781421,79
"women_selenium","protocol","p_low","region_mean_jk","infill",0.243527499875068,79
"women_selenium","protocol","p_low","spatial","infill",0.438687992594335,79
"women_selenium","protocol","p_low","domain_index","infill",0.416670332906977,79
"women_selenium","protocol","p_low","spatial_plus_domain","infill",0.443646591582748,79
"women_selenium","protocol","p_low","null_train_mean","region",-0.63587448234007,79
"women_selenium","protocol","p_low","spatial","region",0.440797247387913,79
"women_selenium","protocol","p_low","domain_index","region",0.417903815242403,79
"women_selenium","protocol","p_low","spatial_plus_domain","region",0.436344376157025,79
"women_selenium","protocol","level","null_train_mean","infill",-0.127553782326201,79
"women_selenium","protocol","level","region_mean_jk","infill",0.235138341544089,79
"women_selenium","protocol","level","spatial","infill",0.382521908471276,79
"women_selenium","protocol","level","domain_index","infill",0.389228334956183,79
"women_selenium","protocol","level","spatial_plus_domain","infill",0.386806231742941,79
"women_selenium","protocol","level","null_train_mean","region",-0.642604652882091,79
"women_selenium","protocol","level","spatial","region",0.353724440116845,79
"women_selenium","protocol","level","domain_index","region",0.370301850048685,79
"women_selenium","protocol","level","spatial_plus_domain","region",0.345910418695229,79
"women_iodine","protocol","p_low","null_train_mean","infill",-0.157165516249755,79
"women_iodine","protocol","p_low","region_mean_jk","infill",0.179753891607521,79
"women_iodine","protocol","p_low","spatial","infill",0.204670878183977,79
"women_iodine","protocol","p_low","domain_index","infill",0.284324607757826,79
"women_iodine","protocol","p_low","spatial_plus_domain","infill",0.186902547408618,79
"women_iodine","protocol","p_low","null_train_mean","region",-0.62456093550972,79
"women_iodine","protocol","p_low","spatial","region",0.2224266828185,79
"women_iodine","protocol","p_low","domain_index","region",0.236556169681104,79
"women_iodine","protocol","p_low","spatial_plus_domain","region",0.260631412367209,79
"women_iodine","protocol","level","null_train_mean","infill",-0.161235632720854,79
"women_iodine","protocol","level","region_mean_jk","infill",0.255385309888448,79
"women_iodine","protocol","level","spatial","infill",0.309152872444012,79
"women_iodine","protocol","level","domain_index","infill",0.390615871470302,79
"women_iodine","protocol","level","spatial_plus_domain","infill",0.308544303797468,79
"women_iodine","protocol","level","null_train_mean","region",-0.641032985958426,79
"women_iodine","protocol","level","spatial","region",0.349123661148978,79
"women_iodine","protocol","level","domain_index","region",0.379430379746835,79
"women_iodine","protocol","level","spatial_plus_domain","region",0.310905550146057,79
