framework,learner,cv_risk_val,nnls_weight,rank
sl3,ranger_500_mn5,0.38108166209132605,0,1
sl3,ranger_500_mn10,0.3811681378645783,0.5266375991578162,2
sl3,ranger_mtry_sqrt,0.38157278302391767,0,3
sl3,ranger_1000_mn10,0.3815786047263257,0,4
sl3,ranger_1000_mn20,0.3828307383010093,0,5
sl3,ranger_mtry_log,0.3832321803634044,0.02054636832538587,6
sl3,rfimp40_ranger,0.3835911711910588,0,7
sl3,cor50_ranger,0.38670868799811825,0,8
sl3,rfimp20_ranger,0.38889563711067066,0,9
sl3,lasso,0.3907117297351914,0.07860841692857971,10
sl3,enet_075,0.39090698064965546,0,11
sl3,cor30_ranger,0.39103582210829135,0,12
sl3,enet_050,0.3918266386553159,0,13
sl3,enet_025,0.39326025413601473,0,14
sl3,ridge,0.39773201723321194,0,15
sl3,xgb_deep_reg,0.39964662088213637,0,16
sl3,cor10_ranger,0.3997966376073058,0,17
sl3,lasso_then_ranger,0.4007059508552737,0,18
sl3,lasso_then_xgb,0.4009115074020448,0.22877721233204149,19
sl3,xgb_conservative,0.400935891516127,0,20
sl3,xgb_deeper,0.4009907158364488,0,21
sl3,cor50_xgb,0.4011803638720254,0,22
sl3,rfimp40_xgb,0.4014787022549518,0,23
sl3,cor30_xgb,0.4037402315547549,0,24
sl3,rfimp20_xgb,0.4051180199561115,0,25
sl3,xgb_fast,0.4078478495885081,0,26
sl3,xgb_shallow,0.40895796014253116,0,27
sl3,hal_fast,0.41027613973921284,0,28
sl3,nnet_5,0.4112518573604061,0,29
sl3,gbm,0.4112695102073757,0,30
sl3,cor10_xgb,0.41525636590030957,0,31
sl3,svm_radial,0.42250977098095854,0,32
sl3,mean,0.43894281820273195,0,33
sl3,nnet_10,0.4437267308065924,0.0067896808069959754,34
sl3,cor30_earth,0.4464601379383697,0,35
sl3,lasso_then_earth,0.44718772680020374,0,36
sl3,cor30_nnet,0.44831441808217065,0,37
sl3,rfimp20_earth,0.4535966670339297,0,38
sl3,polspline,0.4558659532385812,0,39
sl3,earth_d1,0.4649955389576952,0,40
sl3,cor10_nnet,0.46769094573172165,0,41
sl3,svm_linear,0.49701606414746263,0,42
sl3,nnet_20,0.49726063045854924,0.03682582632184581,43
sl3,rfimp40_earth,0.5058363341135191,0,44
sl3,lasso_then_glm,0.517905429570918,0,45
sl3,earth_d2,0.518118297930086,0,46
sl3,cor10_earth,0.5329694966335008,0.0032483518145810394,47
sl3,rfimp20_gam,0.5714492126627171,0.008307302246706958,48
sl3,dbarts,0.7748152701561073,0,49
sl3,rfimp40_gam,1.9629130069349696,0.028543013545290933,50
sl3,gam,2.650287496526821,0.06171622852075597,51
sl3,glm_fast,3.799139340585029,0,52
