"outcome","domain_set","Admin1","Admin2","rank_med","rank_lo","rank_hi","p_worst3rd","loco_range","rank_width","width_pct"
"child_iron","cs","Lacs","Moronou",15,12,17.05,0.0275,7,5.04999999999995,15.3030303030302
"child_iron","cs","Sassandra-Marahoué","Marahoué",15,13,17,0.0025,12,4,12.1212121212121
"child_iron","cs","Sassandra-Marahoué","Haut-Sassandra",19,18,20,0,4,2,6.06060606060606
"child_iron","cs","Woroba","Bafing",19,16,22,0.005,6,6,18.1818181818182
"child_iron","cs","Comoé","Indénié-Djuablin",20,19,24,0,5,5,15.1515151515152
"child_iron","cs","Lagunes","Agnéby-Tiassa",21,18,23,0,2,5,15.1515151515152
"child_iron","cs","Montagnes","Guémon",22,20,24.05,0,3,4.04999999999995,12.2727272727271
"child_iron","cs","Gôh-Djiboua","Gôh",23,20,25,0,9,5,15.1515151515152
"child_iron","cs","Abidjan","Abidjan",25,21,29,0,9,8,24.2424242424242
"child_iron","cs","Lagunes","La Mé",25,22.95,27,0,4,4.05,12.2727272727273
"child_iron","cs","Gôh-Djiboua","Lôh-Djiboua",27,24,29,0,2,5,15.1515151515152
"child_iron","cs","Lagunes","Grands Ponts",27,24,30,0,6,6,18.1818181818182
"child_iron","cs","Bas-Sassandra","Nawa",28,26,30,0,7,4,12.1212121212121
"child_iron","cs","Montagnes","Tonkpi",28,24,32,0,3,8,24.2424242424242
"child_iron","cs","Montagnes","Cavally",29,25,31,0,4,6,18.1818181818182
"child_iron","cs","Bas-Sassandra","Gbôkle",31,30,32,0,2,2,6.06060606060606
"child_iron","cs","Comoé","Sud Comoé",32,30,32,0,1,2,6.06060606060606
"child_iron","cs","Bas-Sassandra","San-Pédro",33,33,33,0,3,0,0
"child_vitA","cs","Savanes","Tchologo",1,1,2,1,3,1,3.03030303030303
"child_vitA","cs","Savanes","Bagoué",2,1,3,1,1,2,6.06060606060606
"child_vitA","cs","Zanzan","Bounkani",3,2,3,1,0,1,3.03030303030303
"child_vitA","cs","Savanes","Poro",4,4,5,1,3,1,3.03030303030303
"child_vitA","cs","Denguélé","Folon",5,4,7,0.9925,5,3,9.09090909090909
"child_vitA","cs","Lacs","N'zi",6,4,8,1,6,4,12.1212121212121
"child_vitA","cs","Vallée du Bandama","Hambol",7,6,9,0.9975,5,3,9.09090909090909
"child_vitA","cs","Woroba","Béré",8,7,11,0.9725,5,4,12.1212121212121
"child_vitA","cs","Lacs","Bélier",9,6,11,0.955,5,5,15.1515151515152
"child_vitA","cs","Yamoussoukro","Yamoussoukro",11,8,15,0.6125,4,7,21.2121212121212
"child_vitA","cs","Lacs","Moronou",12,9,16,0.3625,6,7,21.2121212121212
"child_vitA","cs","Vallée du Bandama","Gbeke",12,10,14,0.3825,3,4,12.1212121212121
"child_vitA","cs","Denguélé","Kabadougou",13,8,17,0.3225,9,9,27.2727272727273
"child_vitA","cs","Lacs","Iffou",14,10,17,0.145,10,7,21.2121212121212
"child_vitA","cs","Woroba","Worodougou",14,10,17,0.1825,5,7,21.2121212121212
"child_vitA","cs","Zanzan","Gontougo",14,11,17,0.0725,4,6,18.1818181818182
"child_vitA","cs","Sassandra-Marahoué","Marahoué",17,15,17,0,3,2,6.06060606060606
"child_vitA","cs","Comoé","Indénié-Djuablin",19,18,22,0,3,4,12.1212121212121
"child_vitA","cs","Lagunes","Agnéby-Tiassa",20,18,23,0,2,5,15.1515151515152
"child_vitA","cs","Sassandra-Marahoué","Haut-Sassandra",20,18,22.05,0,2,4.04999999999995,12.2727272727271
"child_vitA","cs","Woroba","Bafing",20,18,26.05,0.0025,8,8.04999999999995,24.3939393939393
"child_vitA","cs","Gôh-Djiboua","Gôh",22,20,24,0,6,4,12.1212121212121
"child_vitA","cs","Lagunes","La Mé",24,22,28,0,4,6,18.1818181818182
"child_vitA","cs","Montagnes","Guémon",24,22,28,0,1,6,18.1818181818182
"child_vitA","cs","Bas-Sassandra","Nawa",26,23,28,0,6,5,15.1515151515152
"child_vitA","cs","Gôh-Djiboua","Lôh-Djiboua",27,23,29,0,6,6,18.1818181818182
"child_vitA","cs","Lagunes","Grands Ponts",27,22,30,0,3,8,24.2424242424242
"child_vitA","cs","Abidjan","Abidjan",28,21.95,31,0,6,9.05,27.4242424242424
"child_vitA","cs","Montagnes","Cavally",28,24,30,0,2,6,18.1818181818182
"child_vitA","cs","Bas-Sassandra","Gbôkle",31,29,32,0,2,3,9.09090909090909
"child_vitA","cs","Comoé","Sud Comoé",31,29,32,0,3,3,9.09090909090909
"child_vitA","cs","Montagnes","Tonkpi",31,27,32,0,2,5,15.1515151515152
"child_vitA","cs","Bas-Sassandra","San-Pédro",33,33,33,0,0,0,0
"women_iron","cs","Zanzan","Bounkani",1,1,3,1,1,2,6.06060606060606
"women_iron","cs","Savanes","Tchologo",2,1,6,0.995,1,5,15.1515151515152
"women_iron","cs","Savanes","Bagoué",3,2,6,0.995,2,4,12.1212121212121
"women_iron","cs","Lacs","Bélier",5,1,8,1,3,7,21.2121212121212
"women_iron","cs","Lacs","N'zi",5,2,7,1,1,5,15.1515151515152
"women_iron","cs","Savanes","Poro",6,4,10,0.9625,3,6,18.1818181818182
"women_iron","cs","Vallée du Bandama","Hambol",7,5,11,0.9575,3,6,18.1818181818182
"women_iron","cs","Yamoussoukro","Yamoussoukro",8,4,11,0.9725,3,7,21.2121212121212
"women_iron","cs","Woroba","Béré",9,7,13,0.845,3,6,18.1818181818182
"women_iron","cs","Lacs","Moronou",11,7,14,0.62,3,7,21.2121212121212
"women_iron","cs","Vallée du Bandama","Gbeke",11,8,13,0.805,3,5,15.1515151515152
"women_iron","cs","Denguélé","Folon",12,6,19,0.485,5,13,39.3939393939394
"women_iron","cs","Lacs","Iffou",13,10,17,0.1575,2,7,21.2121212121212
"women_iron","cs","Sassandra-Marahoué","Marahoué",14,10,16,0.075,6,6,18.1818181818182
"women_iron","cs","Zanzan","Gontougo",14,12,18,0.0425,1,6,18.1818181818182
"women_iron","cs","Woroba","Worodougou",16,13,22,0,2,9,27.2727272727273
"women_iron","cs","Lagunes","Agnéby-Tiassa",18,13,21,0.025,4,8,24.2424242424242
"women_iron","cs","Comoé","Indénié-Djuablin",19,16,22,0.0025,5,6,18.1818181818182
"women_iron","cs","Denguélé","Kabadougou",19,15,29,0.005,5,14,42.4242424242424
"women_iron","cs","Sassandra-Marahoué","Haut-Sassandra",20,18,26,0,5,8,24.2424242424242
"women_iron","cs","Gôh-Djiboua","Gôh",21,18,24,0.0025,6,6,18.1818181818182
"women_iron","cs","Lagunes","Grands Ponts",22,14,27,0.0275,10,13,39.3939393939394
"women_iron","cs","Abidjan","Abidjan",22.5,13,28,0.0225,14,15,45.4545454545455
"women_iron","cs","Gôh-Djiboua","Lôh-Djiboua",24,20,27,0,3,7,21.2121212121212
"women_iron","cs","Lagunes","La Mé",25,21,28,0,3,7,21.2121212121212
"women_iron","cs","Montagnes","Guémon",25,22,29,0,7,7,21.2121212121212
"women_iron","cs","Bas-Sassandra","Nawa",27,24,29,0,6,5,15.1515151515152
"women_iron","cs","Woroba","Bafing",27,20,32,0,4,12,36.3636363636364
"women_iron","cs","Bas-Sassandra","Gbôkle",29,26,31,0,1,5,15.1515151515152
"women_iron","cs","Montagnes","Cavally",30,27,32,0,1,5,15.1515151515152
"women_iron","cs","Comoé","Sud Comoé",31,25,32,0,6,7,21.2121212121212
"women_iron","cs","Montagnes","Tonkpi",32,28,33,0,2,5,15.1515151515152
"women_iron","cs","Bas-Sassandra","San-Pédro",33,27.95,33,0.0025,1,5.05,15.3030303030303
"women_vitA","cs","Savanes","Tchologo",1,1,3,1,1,2,6.06060606060606
"women_vitA","cs","Zanzan","Bounkani",2,1,3,1,2,2,6.06060606060606
"women_vitA","cs","Savanes","Bagoué",3,1,3,1,1,2,6.06060606060606
"women_vitA","cs","Savanes","Poro",4,4,6,1,1,2,6.06060606060606
"women_vitA","cs","Denguélé","Folon",6,5,10,0.9625,4,5,15.1515151515152
"women_vitA","cs","Lacs","N'zi",6,4,8,1,3,4,12.1212121212121
"women_vitA","cs","Vallée du Bandama","Hambol",6,5,8,1,2,3,9.09090909090909
"women_vitA","cs","Lacs","Bélier",8,5,9,0.9875,3,4,12.1212121212121
"women_vitA","cs","Woroba","Béré",9,7,11,0.9825,3,4,12.1212121212121
"women_vitA","cs","Yamoussoukro","Yamoussoukro",10,8,13,0.8,2,5,15.1515151515152
"women_vitA","cs","Vallée du Bandama","Gbeke",11,10,13,0.66,4,3,9.09090909090909
"women_vitA","cs","Lacs","Moronou",13,10,16,0.2425,4,6,18.1818181818182
"women_vitA","cs","Zanzan","Gontougo",13,11,15,0.115,4,4,12.1212121212121
"women_vitA","cs","Lacs","Iffou",14,11,16,0.0925,8,5,15.1515151515152
"women_vitA","cs","Woroba","Worodougou",15,12,16,0.0375,4,4,12.1212121212121
"women_vitA","cs","Denguélé","Kabadougou",16,10,18,0.1175,7,8,24.2424242424242
