"country","outcome","n_units","units_per_region","arm","spearman","capture"
"Gambia","child_vitA",30,5,"full",0.691623868523407,0.152561034901834
"Gambia","child_vitA",30,5,"jk",0.437911009090211,0.174659668154018
"Gambia","child_vitA",30,5,"jk_shrunk",0.477336364435566,0.188394120614394
"Gambia","child_vitA",30,5,"split",0.442365851502115,0.252490157143053
"Gambia","child_vitA",30,5,"model_domain_index",0.594431897232475,0.132632633375012
"Gambia","women_vitA",30,5,"full",0.446901448176334,0.198709835264774
"Gambia","women_vitA",30,5,"jk",-0.053274409003918,0.118375949648494
"Gambia","women_vitA",30,5,"jk_shrunk",-0.0312101682844848,0.130171818451332
"Gambia","women_vitA",30,5,"split",0.021591390433306,0.180133531299026
"Gambia","women_vitA",30,5,"model_domain_index",0.489952709482526,0.271082426039645
"Gambia","child_iron",30,5,"full",0.487728358588145,0.10144217078635
"Gambia","child_iron",30,5,"jk",0.141506286335641,0.105785553141687
"Gambia","child_iron",30,5,"jk_shrunk",0.123484259302329,0.105785553141687
"Gambia","child_iron",30,5,"split",0.0660807657888137,0.120634788572948
"Gambia","child_iron",30,5,"model_domain_index",0.495583494000012,0.0998791430586483
"Gambia","women_iron",30,5,"full",0.723081689372652,0.110559412789734
"Gambia","women_iron",30,5,"jk",0.522416289805167,0.175060786010736
"Gambia","women_iron",30,5,"jk_shrunk",0.51907887739159,0.175060786010736
"Gambia","women_iron",30,5,"split",0.574924911778769,0.197103069251262
"Gambia","women_iron",30,5,"model_domain_index",0.76222049642868,0.138680963792564
"Ghana","child_vitA",75,4.7,"full",0.566175721281552,0.273541004355367
"Ghana","child_vitA",75,4.7,"jk",0.261061339671697,0.246116825901465
"Ghana","child_vitA",75,4.7,"jk_shrunk",0.252559846706526,0.246116825901465
"Ghana","child_vitA",75,4.7,"split",0.248229012720043,0.245842722317961
"Ghana","child_vitA",75,4.7,"model_domain_index",0.30943570183576,0.223654608901522
"Ghana","women_vitA",75,4.7,"full",0.388951002733815,0.320824456125512
"Ghana","women_vitA",75,4.7,"jk",0.0158971733652272,0.181777712076663
"Ghana","women_vitA",75,4.7,"jk_shrunk",-0.0153808075897563,0.181777712076663
"Ghana","women_vitA",75,4.7,"split",-0.000909184030319457,0.0760592885520551
"Ghana","women_vitA",75,4.7,"model_domain_index",0.115173608259594,0.255995342387727
"Ghana","child_iron",75,4.7,"full",0.698179745916487,0.362268442845167
"Ghana","child_iron",75,4.7,"jk",0.424808010465988,0.346648317918804
"Ghana","child_iron",75,4.7,"jk_shrunk",0.427449451754492,0.340898190797317
"Ghana","child_iron",75,4.7,"split",0.453614684816762,0.346648317918804
"Ghana","child_iron",75,4.7,"model_domain_index",0.529507728025535,0.243342224361392
"Ghana","women_iron",75,4.7,"full",0.631145461223516,0.294025885112178
"Ghana","women_iron",75,4.7,"jk",0.383648574875014,0.212720925437317
"Ghana","women_iron",75,4.7,"jk_shrunk",0.38528615755305,0.212720925437317
"Ghana","women_iron",75,4.7,"split",0.402903714873463,0.212720925437317
"Ghana","women_iron",75,4.7,"model_domain_index",0.309353192521474,0.310951069223601
"Ghana","women_folate",75,4.7,"full",0.555097512063608,0.230934502915884
"Ghana","women_folate",75,4.7,"jk",0.176642766163833,0.153151761408562
"Ghana","women_folate",75,4.7,"jk_shrunk",0.166708525794592,0.153151761408562
"Ghana","women_folate",75,4.7,"split",0.193281852610091,0.154338896874142
"Ghana","women_folate",75,4.7,"model_domain_index",0.264238608195918,0.181311214752599
"Ghana","women_b12",75,4.7,"full",0.585944630644353,0.516411638727887
"Ghana","women_b12",75,4.7,"jk",0.260100503581799,0.455044452843619
"Ghana","women_b12",75,4.7,"jk_shrunk",0.270942101741091,0.455044452843619
"Ghana","women_b12",75,4.7,"split",0.257437358910831,0.455044452843619
"Ghana","women_b12",75,4.7,"model_domain_index",0.31126148183336,0.419347442269771
"Malawi","child_vitA",87,3.2,"full",0.545317558809688,1
"Malawi","child_vitA",87,3.2,"jk",0.0278702268538285,0.367629075758413
"Malawi","child_vitA",87,3.2,"jk_shrunk",0.0457336156889786,0.367629075758413
"Malawi","child_vitA",87,3.2,"split",0.0278698734734519,0.367629075758413
"Malawi","child_vitA",87,3.2,"model_domain_index",0.0217291353285384,0
"Malawi","women_vitA",87,3.2,"full",0.521580029840894,1
"Malawi","women_vitA",87,3.2,"jk",-0.0453209882434602,0
"Malawi","women_vitA",87,3.2,"jk_shrunk",0.021206996373371,0
"Malawi","women_vitA",87,3.2,"split",-0.0453200600957575,0
"Malawi","women_vitA",87,3.2,"model_domain_index",-0.122949281514111,0
"Malawi","child_iron",87,3.2,"full",0.618122314687364,0.323492227199946
"Malawi","child_iron",87,3.2,"jk",0.20224290365387,0.128350120340654
"Malawi","child_iron",87,3.2,"jk_shrunk",0.207040511939523,0.142254597925149
"Malawi","child_iron",87,3.2,"split",0.173975561343696,0.139113699539493
"Malawi","child_iron",87,3.2,"model_domain_index",0.168337925093855,0.377195789897371
"Malawi","women_iron",87,3.2,"full",0.415612919365427,0.384060228382349
"Malawi","women_iron",87,3.2,"jk",-0.113464042783422,0.322904700358283
"Malawi","women_iron",87,3.2,"jk_shrunk",-0.066305722707515,0.324998928729156
"Malawi","women_iron",87,3.2,"split",-0.141597962177893,0.320991996969347
"Malawi","women_iron",87,3.2,"model_domain_index",0.143840670199182,0.21470975255339
"Malawi","women_folate",87,3.2,"full",0.707689923197486,0.236067948790199
"Malawi","women_folate",87,3.2,"jk",0.421010054528011,0.236913909445746
"Malawi","women_folate",87,3.2,"jk_shrunk",0.429325431755481,0.220994539503399
"Malawi","women_folate",87,3.2,"split",0.420283428259783,0.256382298550513
"Malawi","women_folate",87,3.2,"model_domain_index",0.390798557981124,0.318238077009385
"Malawi","women_b12",87,3.2,"full",0.770774100373962,0.408287870539685
"Malawi","women_b12",87,3.2,"jk",0.557916905343302,0.24787968750061
"Malawi","women_b12",87,3.2,"jk_shrunk",0.543259552249646,0.274162564588305
"Malawi","women_b12",87,3.2,"split",0.529879880024217,0.272875511840704
"Malawi","women_b12",87,3.2,"model_domain_index",0.542821268252588,0.41495982347896
"Malawi","child_zinc",87,3.2,"full",0.574758519318528,0.206997981839959
"Malawi","child_zinc",87,3.2,"jk",0.0903409952320831,0.286380425264764
"Malawi","child_zinc",87,3.2,"jk_shrunk",0.106038996623571,0.27929987723937
"Malawi","child_zinc",87,3.2,"split",0.140106029840755,0.288768776026827
"Malawi","child_zinc",87,3.2,"model_domain_index",-0.0608773377695747,0.228684397602708
"Malawi","women_zinc",87,3.2,"full",0.594557386390789,0.323141801662566
"Malawi","women_zinc",87,3.2,"jk",0.189819822496728,0.239193247950703
"Malawi","women_zinc",87,3.2,"jk_shrunk",0.184652483339689,0.210894784553689
"Malawi","women_zinc",87,3.2,"split",0.201160585178039,0.237909175691975
"Malawi","women_zinc",87,3.2,"model_domain_index",-0.13935892841941,0.226710512501577
"SierraLeone","child_vitA",14,3.5,"full",0.00686263516307516,0.258524931226621
