estimand,n_train,n_test,country,outcome,target,rep,mse_pick,rank_pick,library,w_mean,wr_mean,rho_mean,w_lasso,wr_lasso,rho_lasso,w_enet,wr_enet,rho_enet,w_ridge,wr_ridge,rho_ridge,w_ranger,wr_ranger,rho_ranger,w_xgb,wr_xgb,rho_xgb,w_domain_index,wr_domain_index,rho_domain_index,w_domain_pc_ridge,wr_domain_pc_ridge,rho_domain_pc_ridge,w_domain_pc_enet,wr_domain_pc_enet,rho_domain_pc_enet,w_domain_pc1_ols,wr_domain_pc1_ols,rho_domain_pc1_ols,w_hapc,wr_hapc,rho_hapc,w_hapc_lasso,wr_hapc_lasso,rho_hapc_lasso,w_spatial_gam,wr_spatial_gam,rho_spatial_gam,w_spatial_plus_domain,wr_spatial_plus_domain,rho_spatial_plus_domain
country,176,30,,child_vitA,prev,1,ridge,domain_index,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.632986533562613,,-0.409923834516882,0.0,,-0.0932180035713158,0.0,,-0.377307801294751,0.0,,-0.0393426786650148,0.0,,0.0955889633664617,0.0491624874372034,,-0.105086793104377,0.317850979000184,,0.210242082963985,0.0,,-0.261117980856318,0.0,,-0.148845431725173,0.0,,0.0284888453659348,0.0,,-0.0910577288637011,0.0,,-0.0334496357913245,,,,,,
country,131,75,,child_vitA,prev,1,domain_pc_enet,domain_index,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,-0.323961372132548,0.0,,-0.0800493944558659,0.0,,-0.106056614723335,0.0,,-0.0143938366158408,0.0,,0.0100987280589688,0.08775245625216,,0.0517963055510053,0.102683738388089,,0.187761991662859,0.0,,-0.144884641863355,0.584732158168203,,-0.14516203266485,0.0,,-0.113442480939873,0.0,,-0.0189869605732969,0.224831647191547,,0.0656217622791341,,,,,,
country,119,87,,child_vitA,prev,1,ranger,ridge,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.538790715313424,,0.0460957508621051,0.0,,0.265776470325568,0.0,,0.21192235500209,0.0,,0.403613798956736,0.120612924667102,,0.336584658991622,0.0044984147403681,,0.346539834410214,0.0683869181511338,,0.402837330891887,0.0,,0.331149382537678,0.0,,0.340580976279515,0.0,,-0.0089543152065623,0.0,,0.121057782514177,0.267711027127972,,0.398602374336357,,,,,,
country,192,14,,child_vitA,prev,1,enet,domain_index,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,-0.388171412499122,0.0,,0.164501424261177,0.61902489474991,,0.228513635595371,0.0,,0.192190254834152,0.0928646419041712,,0.258958812353182,0.0390912761130425,,0.10218169070928,0.0806906133405697,,0.294282774830854,0.0,,0.15431830546044,0.168328573892306,,0.0922245887641864,0.0,,0.0565951503800596,0.0,,0.118783335058946,0.0,,0.217613619580641,,,,,,
country,176,30,,women_vitA,prev,1,ranger,ridge,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.28654273618476,,0.354946358006055,0.0,,0.354946358006055,0.0,,0.354946358006055,0.0,,0.363909883129303,0.241453111739289,,0.0854430138622832,0.0,,0.130451007234521,0.0427834375196788,,0.0645661917443599,0.0,,0.359230616869788,0.0,,0.354946358006055,0.0481952116952796,,0.0546830532636572,0.185687541271301,,0.182041418151173,0.195337961589692,,0.306001535189001,,,,,,
country,131,75,,women_vitA,prev,1,hapc_lasso,hapc_lasso,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,-0.119612237295859,0.0,,-0.0384334825315346,0.0,,-0.0652685086416505,0.0,,-0.0389442055378596,0.178518016287125,,0.14635362938798,0.0,,0.0984559070259712,0.0,,0.0022436878777362,0.0,,-0.0259176162654209,0.0,,-0.0476958540906888,0.0,,-0.089039311952511,0.562899069388867,,0.139168187623107,0.258582914324009,,0.148666257396038,,,,,,
country,119,87,,women_vitA,prev,1,hapc_lasso,domain_pc1_ols,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,-0.0798370546434374,0.0,,-0.0836324153676454,0.0,,-0.0062034095946921,0.0,,0.0175315395012897,0.0,,0.0362568490667971,0.0,,-0.0579163460395995,0.0,,0.0466229213742867,0.0,,-0.0552319050037955,0.0,,0.0399039337137515,1.0,,0.113050635005729,0.0,,0.0869083092262836,0.0,,0.0029219232502149,,,,,,
country,192,14,,women_vitA,prev,1,ridge,hapc,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,0.172682718451163,0.0,,0.0558080597393204,0.0,,0.0414455788442515,0.0,,0.117621091694383,0.0,,0.182162707188547,0.0,,0.116856110082027,0.0,,0.142513107943201,0.0,,0.0958645112433279,0.0,,-0.0435809925397559,0.119553066114371,,0.0938904811367083,0.644877684932538,,0.243173361726973,0.235569248953091,,0.187672192854973,,,,,,
country,176,30,,child_iron,prev,1,domain_pc_ridge,domain_pc_ridge,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,-0.0330411856901357,0.0,,0.0769083632167134,0.0,,0.0521257783344002,0.0131119026545688,,0.184360960505326,0.075389639465799,,0.064462752041959,0.0,,-0.0294656037806058,0.0,,-0.0251650041106616,0.87079454607646,,0.211283198889728,0.0,,0.132376113240499,0.0,,-0.153244921777141,0.0,,0.118186116172849,0.0407039118031727,,0.154500089115527,,,,,,
country,131,75,,child_iron,prev,1,domain_pc_enet,xgb,"mean,lasso,enet,ridge,ranger,xgb,domain_index,domain_pc_ridge,domain_pc_enet,domain_pc1_ols,hapc,hapc_lasso",0.0,,-0.071666660563003,0.0,,0.0622935127303216,0.0,,0.0539344938146812,0.0,,-0.0632039009290547,0.0,,-0.0983806601856749,0.0,,0.103501260083534,0.0,,-0.134513193562959,0.0,,-0.0428887858975347,0.955583730014445,,0.0608629689653141,0.0,,-0.185753899423031,0.0,,-0.0221483299023164,0.0444162699855547,,0.0021144500099607,,,,,,
