"country","outcome","rung","target","n_resp","n_units","n_regions","n_clusters","mean_clusters_per_unit","share_single_cluster","median_n_per_unit","s2_region","s2_district","s2_cluster","s2_resid","singular","icc_region","icc_district","icc_cluster","ceiling_vc","ceiling_within_vc","cluster_share_of_ceiling","r_max_emp","ce01_within","ce01_cluster","achieved_spearman","headroom_ratio"
"SierraLeone","women_vitA","admin2","prev",774,14,4,60,4.29,0,54,0,0,1e-04,0.0127,TRUE,0,0,0.0045,0,0.2275,1,0.4521,0.412946793700787,0.303020245612855,NA,NA
"SierraLeone","women_vitA","admin2","level",774,14,4,60,4.29,0,54,0,5e-04,0.0044,0.0748,TRUE,0,0.0065,0.0549,0.3891,0.7097,0.4517,0.4521,0.412946793700787,0.303020245612855,NA,NA
"SierraLeone","child_iron","admin2","prev",486,14,4,60,4.29,0,36,0,0.0011,0,0.0535,TRUE,0,0.0202,0,0.6228,0.6228,0,0.2505,0.260834395881855,0,NA,NA
"SierraLeone","child_iron","admin2","level",486,14,4,60,4.29,0,36,0,0.0267,0.0014,0.6328,TRUE,0,0.0404,0.002,0.7481,0.7533,0.0069,0.2505,0.260834395881855,0,NA,NA
"SierraLeone","women_iron","admin2","prev",774,14,4,60,4.29,0,54,0,0,0.0046,0.1389,TRUE,0,0,0.0319,0,0.5346,1,0.8214,0.531265141993811,0,NA,NA
"SierraLeone","women_iron","admin2","level",774,14,4,60,4.29,0,54,0,0,0.0077,0.6224,TRUE,0,0,0.0123,0,0.3617,1,0.8214,0.531265141993811,0,NA,NA
"SierraLeone","women_folate","admin2","prev",766,14,4,59,4.21,0,47,0.0044,0,0.0134,0.1473,TRUE,0.0266,0,0.0811,0.6222,0.8465,0.265,0.8475,NA,NA,NA,NA
"SierraLeone","women_folate","admin2","level",766,14,4,59,4.21,0,47,0.0059,0.0036,0.0139,0.13,FALSE,0.0387,0.0238,0.0905,0.767,0.9089,0.1561,0.8475,NA,NA,NA,NA
"SierraLeone","women_b12","admin2","prev",768,14,4,59,4.21,0,47,0,0,0,0.0052,TRUE,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"SierraLeone","women_b12","admin2","level",768,14,4,59,4.21,0,47,0.0149,8e-04,0.0253,0.1713,FALSE,0.0702,0.0038,0.119,0.7701,0.9269,0.1691,NA,NA,NA,NA,NA
"Malawi","child_vitA","admin2","prev",1149,87,27,103,1.18,0.851,12,0,0,0,0.0043,TRUE,0,0,0,0,0,NA,0.6341,0,0,0.0217291353285384,NA
"Malawi","child_vitA","admin2","level",1149,87,27,103,1.18,0.851,12,3e-04,0.0015,3e-04,0.0343,FALSE,0.0089,0.0414,0.0083,0.5568,0.5974,0.068,0.6341,0,0,0.185875191368375,0.3338
"Malawi","child_vitA","district","prev",1149,27,3,103,3.81,0.037,39,0,0,0,0.0043,TRUE,9e-04,0,0,0.1626,0.1626,0,0.6341,0,0,0.0217291353285384,0.1336
"Malawi","child_vitA","district","level",1149,27,3,103,3.81,0.037,39,2e-04,2e-04,0.0018,0.0342,FALSE,0.0046,0.0058,0.0496,0.4302,0.6839,0.371,0.6341,0,0,0.185875191368375,0.4321
"Malawi","women_vitA","admin2","prev",836,87,27,103,1.18,0.851,8,0,0,0,0.0024,TRUE,0,0,0,0,0,NA,NA,NA,NA,-0.122949281514111,NA
"Malawi","women_vitA","admin2","level",836,87,27,103,1.18,0.851,8,0.001,0,0.0024,0.0606,TRUE,0.0152,0,0.0374,0.2926,0.5289,0.4468,NA,NA,NA,0.306220383465772,1.0467
"Malawi","women_vitA","district","prev",836,27,3,103,3.81,0.037,29,0,0,0,0.0024,TRUE,0,0,0,0,0,0,NA,NA,NA,-0.122949281514111,-123223.4974
"Malawi","women_vitA","district","level",836,27,3,103,3.81,0.037,29,0.0011,0,0.0027,0.0605,TRUE,0.0176,0,0.0415,0.5076,0.6722,0.2449,NA,NA,NA,0.306220383465772,0.6033
"Malawi","child_iron","admin2","prev",1149,87,27,103,1.18,0.851,12,0.0047,0,0.0017,0.1544,TRUE,0.0289,0,0.0106,0.4468,0.5165,0.135,0.4487,0.691498026733767,0.753142832939021,0.168337925093855,0.3767
"Malawi","child_iron","admin2","level",1149,87,27,103,1.18,0.851,12,0.0389,0,0.0234,0.5416,TRUE,0.0644,0,0.0388,0.5684,0.7085,0.1978,0.4487,0.691498026733767,0.753142832939021,0.269266238973536,0.4738
"Malawi","child_iron","district","prev",1149,27,3,103,3.81,0.037,39,0.0018,0.0037,0.0014,0.1544,FALSE,0.0113,0.023,0.0089,0.7127,0.7418,0.0392,0.4487,0.691498026733767,0.753142832939021,0.168337925093855,0.2362
"Malawi","child_iron","district","level",1149,27,3,103,3.81,0.037,39,0.0116,0.0317,0.0229,0.5416,FALSE,0.019,0.0522,0.0377,0.799,0.864,0.0753,0.4487,0.691498026733767,0.753142832939021,0.269266238973536,0.337
"Malawi","women_iron","admin2","prev",781,87,27,103,1.18,0.851,8,8e-04,0.0055,6e-04,0.1397,FALSE,0.0056,0.0372,0.0038,0.4758,0.495,0.0388,0.3947,0.774290895570908,0.807052110120682,0.143840670199182,0.3023
"Malawi","women_iron","admin2","level",781,87,27,103,1.18,0.851,8,0.0109,0.0231,0,0.5403,TRUE,0.0189,0.0402,0,0.5437,0.5437,0,0.3947,0.774290895570908,0.807052110120682,0.253561274331122,0.4664
"Malawi","women_iron","district","prev",781,27,3,103,3.81,0.037,27,0.0026,0,0.0047,0.1399,FALSE,0.018,3e-04,0.0319,0.5137,0.641,0.1987,0.3947,0.774290895570908,0.807052110120682,0.143840670199182,0.28
"Malawi","women_iron","district","level",781,27,3,103,3.81,0.037,27,0.0038,0.0132,0.0157,0.5431,FALSE,0.0065,0.023,0.0273,0.6121,0.6969,0.1217,0.3947,0.774290895570908,0.807052110120682,0.253561274331122,0.4142
"Malawi","women_folate","admin2","prev",828,87,27,103,1.18,0.851,8,0.0171,0.0035,0.0091,0.1361,FALSE,0.103,0.0214,0.055,0.6597,0.7823,0.1568,0.8305,NA,NA,0.390798557981124,0.5924
"Malawi","women_folate","admin2","level",828,87,27,103,1.18,0.851,8,0.0578,0.0625,0.032,0.2935,FALSE,0.1298,0.1401,0.0718,0.797,0.8891,0.1036,0.8305,NA,NA,0.421145294160531,0.5284
"Malawi","women_folate","district","prev",828,27,3,103,3.81,0.037,29,0,0.0172,0.0123,0.1361,TRUE,0,0.1041,0.0742,0.8052,0.8922,0.0975,0.8305,NA,NA,0.390798557981124,0.4853
"Malawi","women_folate","district","level",828,27,3,103,3.81,0.037,29,0,0.0594,0.0889,0.2937,TRUE,0,0.1343,0.2012,0.7723,0.9393,0.1778,0.8305,NA,NA,0.421145294160531,0.5453
"Malawi","women_b12","admin2","prev",839,87,27,103,1.18,0.851,9,0.008,0.0025,0,0.0864,TRUE,0.0828,0.0257,0,0.6896,0.6896,0,NA,NA,NA,0.542821268252588,0.7871
"Malawi","women_b12","admin2","level",839,87,27,103,1.18,0.851,9,0.0903,0.0507,0.0202,0.1967,FALSE,0.2522,0.1416,0.0565,0.8706,0.9263,0.0601,NA,NA,NA,0.680303637821681,0.7814
"Malawi","women_b12","district","prev",839,27,3,103,3.81,0.037,29,0.0011,0.0076,0.0017,0.0867,FALSE,0.0111,0.0779,0.0179,0.8276,0.8538,0.0307,NA,NA,NA,0.542821268252588,0.6559
"Malawi","women_b12","district","level",839,27,3,103,3.81,0.037,29,0.0203,0.077,0.0653,0.1968,FALSE,0.0566,0.2143,0.1815,0.8791,0.9687,0.0925,NA,NA,NA,0.680303637821681,0.7739
"Malawi","child_zinc","admin2","prev",1134,87,27,103,1.18,0.851,11,0.0046,0,0.0405,0.1964,TRUE,0.0192,0,0.1677,0.2671,0.8034,0.6675,0.7985,NA,NA,-0.0608773377695747,-0.2279
"Malawi","child_zinc","admin2","level",1133,87,27,103,1.18,0.851,11,0,0,0.0135,0.069,TRUE,0,0,0.1635,0,0.7781,1,0.7985,NA,NA,-0.122904060654662,NA
"Malawi","child_zinc","district","prev",1134,27,3,103,3.81,0.037,37,0.0022,0.0029,0.0406,0.1964,FALSE,0.009,0.0121,0.1678,0.4571,0.8608,0.469,0.7985,NA,NA,-0.0608773377695747,-0.1332
"Malawi","child_zinc","district","level",1133,27,3,103,3.81,0.037,37,2e-04,0,0.0134,0.069,TRUE,0.0021,0,0.1619,0.1621,0.8166,0.8015,0.7985,NA,NA,-0.122904060654662,-0.7582
"Malawi","women_zinc","admin2","prev",844,87,27,103,1.18,0.851,8,0.0088,0.0047,0.0313,0.1923,FALSE,0.037,0.0196,0.1321,0.444,0.7872,0.436,0.7909,NA,NA,-0.13935892841941,-0.3139
"Malawi","women_zinc","admin2","level",843,87,27,103,1.18,0.851,8,0.0019,0.0042,0.0104,0.0596,FALSE,0.0255,0.0555,0.1365,0.5095,0.8136,0.3738,0.7909,NA,NA,-0.157818765036087,-0.3098
"Malawi","women_zinc","district","prev",844,27,3,103,3.81,0.037,29,0.0016,0.0081,0.0356,0.1923,FALSE,0.0067,0.0343,0.1497,0.5831,0.8585,0.3208,0.7909,NA,NA,-0.13935892841941,-0.239
"Malawi","women_zinc","district","level",843,27,3,103,3.81,0.037,29,9e-04,0.0015,0.0144,0.0596,FALSE,0.0117,0.0197,0.1888,0.5063,0.866,0.4153,0.7909,NA,NA,-0.157818765036087,-0.3117
